id;customer_name;email;address;phone
1;SAS;Vaughn.Hirthe@gmail.com;Thailand;(185) 952-0868
2;pixel deposit;Antonina_Cummings2@gmail.com;Handmade Fresh Keyboard;1-772-937-3028
3;motivating Metrics regional;Uriah_Lynch75@yahoo.com;Credit Card Account Product Creative;276-394-1700 x8895
4;pricing structure;Lucie.Hackett@yahoo.com;COM Colombian Peso Unidad de Valor Real Enhanced;250-328-9275 x224
5;mobile models;Modesto_Little@gmail.com;fresh-thinking;1-019-306-4975 x211
6;synthesize haptic e-markets;Estelle.Kirlin@hotmail.com;policy;747.455.8141 x69714
7;Home Loan Account;Orpha.Collins@gmail.com;dot-com digital;(757) 680-5017 x208
8;Tools;Kara.Monahan26@hotmail.com;Buckinghamshire Dobra neural;582.137.4996 x757
9;reinvent Accounts;Columbus_Hand@hotmail.com;Savings Account indexing deposit;641-000-0086 x8363
10;indexing Dobra Avon;Selina58@gmail.com;transparent;1-720-929-7494 x377
