id;vendor_name;phone;email;address
1;invoice Auto Loan Account Senior;950.751.4375 x064;Raquel90@hotmail.com;Avon Sleek Cotton Pants Maine
2;Bedfordshire indexing Brazilian Real;460.309.5635 x8799;Rhett_Krajcik@gmail.com;back up
3;Kids;027-365-3055;Tad.Grady@gmail.com;optical Tasty Rubber Bacon
4;overriding Turnpike;252.560.7444 x57506;Erich.Stoltenberg43@gmail.com;Taka Morocco Metal
5;transparent mindshare infomediaries;773.363.2623 x914;May.Keeling@gmail.com;reboot bypass Chair
6;real-time;410-567-4263;Hayden.Funk@hotmail.com;FTP wireless Shirt
7;leading edge strategy Orchestrator;377-791-7813 x9007;Aileen.Lehner53@hotmail.com;Fort
8;feed red Keyboard;1-012-794-1439 x713;Shane_Keeling@gmail.com;SCSI 24/7 Handcrafted
9;Concrete;065.187.1633 x0497;Cheyanne.Little@yahoo.com;Keyboard toolset
10;Seamless reboot;827.139.8422;Chelsea.Schuster@gmail.com;Garden Oklahoma one-to-one
